TopographyDrainage,RiverManagement,Deforestation,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,WetlandLoss,InadequatePlanning,PoliticalFactors,rainfall_today,rainfall_last_3_days,rainfall_last_7_days,flood_reports_24h,waste_reports_24h,population_density,elevation,river_distance,drainage_score,climate_stress_index,drainage_risk_index,development_pressure,ecological_pressure,preparedness_gap,infrastructure_decay,agriculture_pressure,coastal_exposure,target
6,8,5,7,6,2,3,6,6,2,3,6,8,4,5,3,8,11,3,6,2,6,8,6,15,27,12,18,10,17,5,6,49.5
11,4,1,4,2,1,1,6,6,6,5,6,9,2,7,6,12,18,6,5,5,11,4,3,36,22,25,21,8,15,2,6,48.0
1,7,4,6,4,3,2,7,4,8,3,5,5,6,4,2,5,7,2,7,9,1,7,7,6,21,63,20,13,13,5,4,48.5
4,2,6,8,6,5,5,4,6,3,5,1,1,2,5,9,14,23,9,4,6,4,2,2,45,16,24,15,6,12,10,6,44.5
5,5,1,4,7,9,5,6,2,5,4,3,5,2,6,2,9,11,2,5,6,5,5,5,14,19,30,15,8,16,14,2,47.0
10,4,9,4,3,7,3,7,5,4,8,6,4,5,8,6,8,14,6,5,6,10,4,4,12,22,30,25,12,17,10,5,55.00000000000001
2,3,2,5,6,5,6,5,2,4,2,5,10,9,8,7,12,19,7,3,3,2,3,5,35,15,9,18,14,19,11,2,48.5
8,9,4,4,9,7,2,9,8,3,4,3,8,6,1,8,13,21,8,5,3,8,9,3,40,24,15,19,15,13,9,8,54.50000000000001
11,5,7,9,5,6,7,3,4,4,4,4,4,8,6,6,12,18,6,3,6,11,5,7,36,32,18,19,11,15,13,4,57.49999999999999
4,6,5,5,6,4,8,7,4,5,2,6,5,0,8,2,8,10,2,4,5,4,6,2,12,17,20,17,7,20,12,4,47.0
6,7,5,7,4,2,4,6,7,4,4,4,5,4,3,3,9,12,3,1,1,6,7,3,18,23,1,18,10,11,6,7,43.0
6,4,8,4,8,2,7,5,3,8,7,8,6,2,3,4,8,12,4,7,2,6,4,5,16,19,14,29,7,19,9,3,51.5
7,8,2,6,3,4,3,3,3,4,6,6,1,9,6,4,13,17,4,2,9,7,8,8,36,29,18,13,12,15,7,3,51.5
7,8,7,7,5,7,4,3,6,3,9,4,6,13,6,3,4,7,3,1,7,7,8,6,3,28,7,25,16,15,11,6,56.49999999999999
4,4,7,8,5,4,4,8,6,4,4,5,3,4,10,11,20,31,11,5,3,4,4,3,99,19,15,18,12,20,8,6,55.50000000000001
6,4,5,8,3,6,4,2,5,5,6,7,6,7,5,4,13,17,4,7,6,6,4,7,36,25,42,22,9,15,10,5,56.00000000000001
3,1,3,5,5,3,4,9,4,9,1,8,6,5,3,5,9,14,5,7,7,3,1,9,20,18,49,19,14,16,7,4,50.5
4,4,6,8,6,7,9,8,7,6,9,4,4,6,6,4,9,13,4,7,6,4,4,11,20,27,42,25,14,16,16,7,63.5
4,3,5,2,4,7,6,9,6,5,5,2,4,7,3,4,14,18,4,9,6,4,3,8,40,17,54,19,16,9,13,6,54.50000000000001
5,5,3,5,5,3,6,3,4,5,3,5,4,5,4,3,6,9,3,5,4,5,5,5,9,20,20,15,8,14,9,4,42.5
6,6,7,7,5,6,5,4,6,7,5,6,5,3,5,9,19,28,9,8,5,6,6,4,90,23,40,24,7,16,11,6,59.5
6,3,2,6,2,3,5,8,3,7,8,5,2,12,7,2,5,7,2,0,3,6,3,5,6,20,0,19,20,14,8,3,46.0
4,6,3,5,2,3,9,3,8,3,3,6,7,3,6,2,7,9,2,7,6,4,6,3,10,18,42,16,6,14,12,8,47.0
9,3,6,2,3,3,8,3,4,3,8,5,6,3,5,3,9,12,3,1,5,9,3,4,18,18,5,23,6,13,11,4,45.0
7,10,5,4,5,7,3,6,2,6,2,4,5,6,3,3,6,9,3,4,6,7,10,3,9,24,24,18,12,12,10,2,47.0
3,6,4,6,5,4,4,3,6,6,6,7,4,7,4,5,8,13,5,5,3,3,6,8,15,23,15,20,10,16,8,6,49.5
6,5,4,8,8,4,4,4,3,5,7,4,4,9,5,12,19,31,12,3,3,6,5,4,84,23,9,20,13,17,8,3,54.50000000000001
6,1,7,6,8,5,8,8,5,5,6,4,6,12,6,6,12,18,6,5,4,6,1,8,36,21,20,24,20,18,13,5,61.0
4,5,7,6,6,5,6,6,3,7,5,7,5,3,3,4,7,11,4,6,5,4,5,4,12,19,30,24,9,16,11,3,50.0
5,11,3,3,7,10,9,4,9,4,4,2,11,4,2,1,5,6,1,5,6,5,11,5,4,24,30,22,8,11,19,9,54.50000000000001
6,5,3,6,7,4,10,5,7,7,2,4,10,3,7,3,8,11,3,3,6,6,5,10,15,27,18,22,8,18,14,7,56.49999999999999
7,10,4,3,8,4,6,5,4,6,3,3,2,3,3,5,11,16,5,7,2,7,10,6,30,26,14,15,8,14,10,4,48.5
6,6,0,3,8,3,4,2,3,6,6,7,10,11,6,4,11,15,4,4,5,6,6,8,28,23,20,22,13,21,7,3,54.50000000000001
10,3,7,5,6,4,6,3,6,9,4,7,2,5,4,5,14,19,5,9,6,10,3,6,45,24,54,22,8,17,10,6,57.99999999999999
3,7,6,5,2,2,2,5,5,3,6,5,6,7,8,4,9,13,4,4,4,3,7,7,20,22,16,21,12,15,4,5,48.0
2,5,1,7,8,3,5,4,2,6,3,4,4,8,2,4,10,14,4,3,5,2,5,2,24,16,15,14,12,14,8,2,42.0
6,6,4,3,7,6,4,4,4,3,5,6,5,4,1,6,12,18,6,5,5,6,6,3,36,18,25,17,8,14,10,4,46.5
2,5,5,1,7,2,5,7,9,5,9,8,8,7,6,2,5,7,2,3,11,2,5,5,6,13,33,27,14,21,7,9,55.00000000000001
5,5,4,1,4,3,3,2,3,8,6,6,4,7,4,2,12,14,2,6,5,5,5,5,20,16,30,22,9,14,6,3,46.5
4,4,6,5,2,6,6,4,6,7,6,8,5,7,4,7,14,21,7,7,7,4,4,6,49,19,49,24,11,14,12,6,56.99999999999999
7,5,1,2,3,9,7,6,7,5,5,5,6,3,6,6,11,17,6,6,4,7,5,4,30,18,24,17,9,14,16,7,51.0
7,6,4,2,4,7,5,8,3,3,6,5,3,2,5,3,11,14,3,3,5,7,6,7,24,22,15,16,10,14,12,3,48.0
3,1,3,3,3,4,7,7,9,1,2,7,8,5,5,5,10,15,5,6,6,3,1,5,25,12,36,14,12,15,11,9,47.5
7,8,2,6,3,5,4,1,8,9,5,6,4,4,7,6,12,18,6,7,4,7,8,6,36,27,28,20,5,16,9,8,54.0
4,6,5,7,2,8,4,8,6,4,6,5,3,4,8,6,10,16,6,6,7,4,6,6,24,23,42,18,12,15,12,6,54.50000000000001
9,4,4,1,6,9,3,4,5,3,4,5,5,4,5,6,10,16,6,2,2,9,4,5,24,19,4,16,8,16,12,5,45.0
4,9,8,9,5,10,1,8,2,7,6,4,3,6,4,3,9,12,3,6,6,4,9,2,18,24,36,24,14,13,11,2,54.50000000000001
5,6,3,3,3,6,4,7,7,8,3,2,8,7,8,12,19,31,12,3,4,5,6,5,84,19,12,22,14,13,10,7,55.50000000000001
9,5,9,4,5,5,7,3,7,6,4,4,4,8,8,6,13,19,6,4,1,9,5,7,42,25,4,23,11,17,12,7,56.49999999999999
4,6,2,9,4,5,3,3,5,11,3,2,6,4,7,6,15,21,6,5,4,4,6,5,54,24,20,22,7,13,8,5,51.5
5,4,8,3,3,5,5,8,5,6,6,6,8,2,4,4,10,14,4,3,5,5,4,6,24,18,15,28,10,13,10,5,51.0
6,10,6,3,4,8,10,6,5,5,7,9,9,3,4,5,10,15,5,3,6,6,10,8,25,27,18,27,9,17,18,5,61.0
5,5,6,3,6,7,6,1,4,2,5,1,9,1,2,8,11,19,8,4,6,5,5,10,24,23,24,22,2,9,13,4,47.0
6,4,2,6,2,6,5,3,5,6,2,3,9,4,8,2,8,10,2,3,8,6,4,5,12,21,24,19,7,13,11,5,47.5
7,4,8,5,5,1,9,3,6,4,7,4,3,8,6,9,16,25,9,3,6,7,4,5,63,21,18,22,11,15,10,6,55.00000000000001
7,9,3,4,3,1,4,4,10,2,10,2,9,4,12,6,8,14,6,6,3,7,9,2,12,22,18,24,8,17,5,10,51.5
2,1,2,5,0,2,4,3,4,2,4,7,4,5,3,3,9,12,3,5,3,2,1,6,18,14,15,12,8,10,6,4,35.5
3,1,8,7,9,4,6,4,6,6,3,2,0,9,7,3,7,10,3,3,6,3,1,3,12,14,18,17,13,18,10,6,47.0
3,7,7,4,3,10,11,2,4,4,8,5,6,8,4,5,9,14,5,4,9,3,7,6,20,20,36,25,10,12,21,4,56.99999999999999
6,6,3,6,6,5,4,4,5,3,3,4,4,7,5,2,3,5,2,4,5,6,6,2,2,20,20,13,11,15,9,5,42.5
6,8,8,4,3,6,4,7,10,4,4,10,5,4,6,9,15,24,9,8,8,6,8,4,54,22,64,21,11,19,10,10,62.0
6,7,5,10,7,4,5,5,1,2,8,4,3,3,6,2,11,13,2,6,4,6,7,4,18,27,24,18,8,17,9,1,50.5
4,11,4,6,5,5,3,4,2,1,8,7,4,4,4,2,9,11,2,4,6,4,11,4,14,25,24,17,8,16,8,2,47.5
6,10,5,3,5,2,10,4,5,9,5,11,5,3,3,9,12,21,9,4,4,6,10,3,27,22,16,24,7,19,12,5,54.50000000000001
6,4,5,5,7,8,6,5,4,4,9,4,5,2,4,6,11,17,6,8,6,6,4,10,30,25,48,23,7,15,14,4,56.49999999999999
5,4,2,7,3,7,3,1,5,4,5,6,5,8,0,6,12,18,6,6,11,5,4,2,36,18,66,16,9,9,10,5,48.0
1,5,4,2,3,5,3,11,0,7,4,5,8,4,2,7,10,17,7,5,4,1,5,6,21,14,20,23,15,10,8,0,44.5
4,5,7,3,4,4,7,5,2,3,6,4,6,7,2,2,7,9,2,3,9,4,5,2,10,14,27,22,12,10,11,2,45.0
5,4,2,6,7,2,3,4,3,4,4,9,3,6,2,7,14,21,7,5,9,5,4,3,49,18,45,13,10,18,5,3,47.5
7,6,6,5,3,7,3,6,2,6,9,5,6,10,10,5,10,15,5,4,2,7,6,5,25,23,8,27,16,18,10,2,56.00000000000001
7,2,2,4,8,10,4,7,4,4,5,7,4,7,4,9,10,19,9,2,6,7,2,7,9,20,12,15,14,19,14,4,52.0
2,4,12,3,7,4,3,8,8,4,4,4,6,3,8,3,8,11,3,5,8,2,4,1,15,10,40,26,11,19,7,8,51.0
4,11,4,8,4,4,5,6,3,4,4,6,4,2,9,7,10,17,7,8,2,4,11,5,21,28,16,16,8,19,9,3,51.5
2,6,8,9,4,6,4,3,4,13,8,6,8,7,4,7,9,16,7,4,5,2,6,2,14,19,20,37,10,14,10,4,56.00000000000001
2,3,7,9,3,4,6,5,8,5,5,9,6,2,5,5,11,16,5,7,6,2,3,10,30,24,42,23,7,17,10,8,56.49999999999999
5,5,3,4,6,2,7,3,4,3,7,7,5,5,10,6,14,20,6,6,5,5,5,11,48,25,30,18,8,23,9,4,56.00000000000001
4,5,8,0,4,3,6,0,5,4,6,7,4,4,7,6,8,14,6,6,5,4,5,6,12,15,30,22,4,18,9,5,46.0
5,2,6,6,6,8,6,5,4,4,3,3,3,6,2,5,10,15,5,6,3,5,2,5,25,18,18,16,11,11,14,4,46.5
6,7,5,4,8,4,5,5,3,4,5,5,4,3,5,5,8,13,5,4,6,6,7,3,15,20,24,18,8,18,9,3,47.0
8,8,7,7,10,4,2,5,6,5,3,0,7,5,2,5,10,15,5,6,3,8,8,5,25,28,18,22,10,12,6,6,51.5
8,10,3,9,3,8,2,9,4,2,5,10,3,3,3,6,13,19,6,6,4,8,10,4,42,31,24,13,12,16,10,4,54.50000000000001
4,8,3,5,8,8,8,5,7,4,3,8,6,9,5,5,9,14,5,3,4,4,8,3,20,20,12,16,14,21,16,7,55.00000000000001
7,5,3,6,2,6,4,3,3,9,4,10,4,5,10,10,18,28,10,4,4,7,5,8,80,26,16,20,8,22,10,3,57.49999999999999
5,7,5,2,1,3,5,4,6,3,4,6,4,3,8,2,5,7,2,4,2,5,7,6,6,20,8,16,7,15,8,6,41.5
6,2,5,4,6,7,8,6,2,4,7,5,4,8,2,2,6,8,2,0,2,6,2,6,8,18,0,20,14,13,15,2,45.0
12,7,8,2,6,4,4,5,10,4,8,7,6,5,5,4,13,17,4,4,3,12,7,2,36,23,12,26,10,18,8,10,57.49999999999999
5,0,2,8,3,5,1,10,3,5,2,5,5,4,5,5,9,14,5,3,11,5,0,7,20,20,33,14,14,13,6,3,46.5
6,3,6,4,4,3,6,3,6,4,5,6,2,1,8,5,8,13,5,7,3,6,3,9,15,22,21,17,4,18,9,6,47.0
4,0,8,10,2,3,6,5,3,6,8,8,4,5,6,4,9,13,4,8,3,4,0,10,20,24,24,26,10,16,9,3,54.0
5,1,7,3,8,6,2,3,11,12,8,5,3,4,4,6,13,19,6,7,11,5,1,5,42,14,77,30,7,17,8,11,59.0
11,3,2,6,4,7,13,8,7,7,8,7,6,3,7,4,9,13,4,3,5,11,3,4,20,24,15,23,11,18,20,7,60.0
4,6,9,6,8,6,3,3,2,5,6,6,7,1,4,7,12,19,7,6,8,4,6,1,35,17,48,27,4,18,9,2,51.5
2,5,3,5,2,7,4,5,2,4,3,5,4,7,9,5,12,17,5,5,3,2,5,5,35,17,15,14,12,16,11,2,46.0
5,7,3,5,1,4,2,4,3,3,9,3,8,3,8,4,11,15,4,5,7,5,7,5,28,22,35,23,7,12,6,3,48.0
4,5,4,5,8,3,2,8,4,3,5,11,5,8,6,1,3,4,1,0,6,4,5,4,2,18,0,17,16,25,5,4,47.0
5,6,4,5,1,6,2,9,4,3,3,4,7,9,6,9,13,22,9,2,4,5,6,3,36,19,8,17,18,11,8,4,48.0
5,7,9,6,5,6,4,3,3,2,2,5,2,1,5,6,10,16,6,1,1,5,7,7,24,25,1,15,4,15,10,3,42.0
5,8,6,2,4,8,8,2,6,4,5,7,5,4,1,7,12,19,7,3,3,5,8,6,35,21,9,20,6,12,16,6,49.5
3,5,4,3,6,5,11,4,3,4,4,8,7,4,4,4,8,12,4,4,4,3,5,3,16,14,16,19,8,18,16,3,47.0
5,4,5,5,4,5,6,5,8,4,4,4,7,2,9,4,8,12,4,6,9,5,4,5,16,19,54,20,7,17,11,8,52.5
6,5,7,8,5,9,8,5,7,2,3,3,5,6,3,3,6,9,3,1,8,6,5,5,9,24,8,17,11,11,17,7,51.0
5,5,4,9,2,4,6,6,5,8,3,9,8,6,5,6,14,20,6,8,8,5,5,4,48,23,64,23,12,16,10,5,59.5
5,6,4,4,6,4,9,3,5,3,10,9,5,4,8,8,10,18,8,7,3,5,6,13,16,28,21,22,7,23,13,5,59.0
3,5,7,1,2,5,8,6,3,5,7,2,5,2,2,4,9,13,4,6,5,3,5,7,20,16,30,24,8,6,13,3,45.0
2,7,7,1,3,1,2,6,9,4,4,1,1,8,4,7,14,21,7,8,4,2,7,9,49,19,32,16,14,8,3,9,47.5
6,4,0,9,10,4,4,9,3,3,2,5,3,8,7,4,10,14,4,7,3,6,4,6,24,25,21,8,17,22,8,3,51.5
1,6,0,6,8,4,5,5,3,4,5,8,7,2,3,5,10,15,5,6,5,1,6,10,25,23,30,16,7,19,9,3,49.0
5,6,5,4,10,4,2,3,5,4,5,4,4,2,5,4,10,14,4,1,1,5,6,9,24,24,1,18,5,19,6,5,44.5
8,1,4,7,4,7,6,5,8,6,15,7,4,6,7,2,9,11,2,9,8,8,1,2,14,18,72,29,11,18,13,8,61.5
6,4,5,4,5,13,4,2,4,5,8,6,5,6,4,6,9,15,6,8,6,6,4,3,18,17,48,23,8,15,17,4,53.5
1,1,5,5,10,6,7,4,9,3,6,3,4,4,4,4,6,10,4,5,3,1,1,1,8,8,15,18,8,17,13,9,43.5
7,8,3,3,5,4,6,9,4,8,4,1,5,6,2,3,6,9,3,1,5,7,8,8,9,26,5,20,15,8,10,4,47.5
3,3,4,5,5,6,2,4,2,6,5,8,8,9,6,7,11,18,7,4,10,3,3,4,28,15,40,23,13,19,8,2,52.5
5,2,4,4,5,2,6,4,9,5,8,5,4,8,3,6,13,19,6,3,7,5,2,8,42,19,21,21,12,13,8,9,52.5
5,7,3,2,6,8,5,7,6,3,5,5,7,5,2,6,12,18,6,3,1,5,7,5,36,19,3,18,12,13,13,6,48.5
5,4,2,5,6,5,10,4,3,5,14,7,1,6,4,4,10,14,4,9,4,5,4,4,24,18,36,22,10,17,15,3,54.0
4,6,7,2,4,5,4,7,5,9,3,5,5,3,4,8,13,21,8,10,9,4,6,8,40,20,90,24,10,13,9,5,56.49999999999999
6,3,6,4,11,5,3,3,5,5,5,1,8,5,6,7,10,17,7,9,5,6,3,9,21,22,45,24,8,18,8,5,54.50000000000001
5,6,7,3,4,2,5,5,3,5,6,7,6,3,6,5,8,13,5,4,5,5,6,7,15,21,20,24,8,17,7,3,48.5
5,6,11,4,7,6,5,5,2,9,7,4,8,2,7,2,10,12,2,6,4,5,6,0,16,15,24,35,7,18,11,2,54.0
4,7,6,6,7,7,6,2,1,3,5,7,2,7,1,3,7,10,3,6,2,4,7,5,12,22,12,16,9,15,13,1,45.5
5,8,5,4,4,5,4,3,5,4,4,9,2,7,5,5,9,14,5,7,6,5,8,11,20,28,42,15,10,18,9,5,53.5
9,2,5,4,8,6,5,2,2,6,4,1,16,5,2,10,16,26,10,5,6,9,2,3,60,18,30,31,7,11,11,2,53.5
8,4,6,9,5,5,7,6,3,4,3,4,9,6,3,7,12,19,7,7,2,8,4,4,35,25,14,22,12,12,12,3,53.5
6,6,6,2,3,5,10,4,4,8,7,4,6,2,3,3,13,16,3,1,7,6,6,4,30,18,7,27,6,10,15,4,50.5
5,4,4,5,3,4,6,3,8,0,3,2,7,8,5,10,12,22,10,3,5,5,4,1,20,15,15,14,11,10,10,8,44.0
7,5,6,5,3,7,8,0,4,5,4,4,3,6,3,7,12,19,7,3,7,7,5,5,35,22,21,18,6,10,15,4,48.5
4,10,5,1,2,3,2,3,5,3,7,9,2,2,4,4,10,14,4,7,4,4,10,4,24,19,28,17,5,15,5,5,43.5
8,7,6,11,5,5,6,5,5,5,5,4,6,9,3,6,14,20,6,5,6,8,7,2,48,28,30,22,14,12,11,5,58.5
4,5,3,5,4,6,4,3,6,5,6,2,4,8,5,3,9,12,3,5,1,4,5,3,18,17,5,18,11,11,10,6,44.0
3,1,2,3,9,8,3,3,5,3,3,5,4,5,6,6,10,16,6,5,1,3,1,2,24,9,5,12,8,20,11,5,40.5
8,3,4,3,1,3,5,3,5,9,3,6,5,2,6,7,10,17,7,3,8,8,3,6,21,20,24,21,5,13,8,5,46.5
3,9,6,5,4,5,6,5,4,6,6,11,6,7,4,8,13,21,8,6,5,3,9,4,40,21,30,24,12,19,11,4,57.49999999999999
8,6,3,3,9,2,7,4,5,4,7,6,6,7,2,8,18,26,8,4,5,8,6,5,80,22,20,20,11,17,9,5,55.50000000000001
8,1,4,4,7,5,9,5,6,5,4,2,6,5,3,2,6,8,2,3,9,8,1,3,8,16,27,19,10,12,14,6,47.5
4,6,5,6,5,4,7,3,5,8,2,5,8,2,6,8,16,24,8,4,3,4,6,4,64,20,12,23,5,16,11,5,51.5
3,5,8,6,11,2,8,3,6,7,2,4,4,2,5,6,10,16,6,9,7,3,5,4,24,18,63,21,5,20,10,6,53.0
5,2,3,3,3,5,5,5,5,6,6,0,7,4,1,3,7,10,3,3,8,5,2,4,12,14,24,22,9,4,10,5,41.0
3,8,7,2,6,3,4,6,6,7,2,4,7,7,6,4,7,11,4,14,5,3,8,8,12,21,70,23,13,16,7,6,56.00000000000001
5,1,7,5,8,3,3,6,6,5,6,2,4,8,5,4,8,12,4,8,4,5,1,8,16,19,32,22,14,15,6,6,51.0
7,6,6,5,7,10,4,6,5,5,2,7,6,2,4,8,10,18,8,7,9,7,6,8,16,26,63,19,8,18,14,5,57.99999999999999
2,5,6,4,2,5,3,4,6,6,5,2,6,4,9,4,7,11,4,7,6,2,5,3,12,14,42,23,8,13,8,6,46.0
6,5,2,5,5,5,3,3,6,6,5,2,3,2,2,6,12,18,6,4,4,6,5,5,36,21,16,16,5,9,8,6,42.5
4,4,2,1,6,5,2,7,6,2,4,2,1,5,6,5,9,14,5,4,2,4,4,4,20,13,8,9,12,14,7,6,38.0
3,2,9,4,6,7,6,7,2,4,8,4,9,4,4,3,10,13,3,5,6,3,2,6,21,15,30,30,11,14,13,2,53.0
6,5,9,1,7,4,6,5,4,7,6,5,2,4,5,5,8,13,5,5,7,6,5,7,15,19,35,24,9,17,10,4,51.5
5,5,3,3,6,6,3,5,5,4,6,7,2,6,3,3,5,8,3,3,4,5,5,1,6,14,12,15,11,16,9,5,41.0
6,6,9,2,6,5,4,9,5,4,5,5,7,6,4,5,9,14,5,7,11,6,6,2,20,16,77,25,15,15,9,5,56.00000000000001
6,5,4,3,6,7,0,6,7,5,5,4,5,10,7,1,6,7,1,6,6,6,5,3,5,17,36,19,16,17,7,7,50.5
3,4,3,6,3,3,3,9,6,11,4,7,5,6,1,6,12,18,6,5,5,3,4,8,36,21,25,23,15,11,6,6,52.0
8,7,5,1,3,7,4,7,3,6,4,7,4,7,6,4,7,11,4,7,7,8,7,7,12,23,49,19,14,16,11,3,53.5
8,5,7,3,4,3,6,8,7,4,3,4,7,2,2,7,10,17,7,2,4,8,5,8,21,24,8,21,10,10,9,7,48.5
7,4,4,7,10,4,6,3,5,2,5,3,4,7,3,7,12,19,7,5,5,7,4,4,35,22,25,15,10,16,10,5,50.0
5,4,5,1,3,5,6,5,6,3,5,2,4,3,4,1,5,6,1,3,4,5,4,3,4,13,12,17,8,9,11,6,38.0
5,5,6,2,4,5,6,7,10,8,13,7,5,3,7,6,11,17,6,0,5,5,5,7,30,19,0,32,10,18,11,10,57.99999999999999
5,8,7,5,7,9,5,3,4,6,5,6,7,7,6,5,12,17,5,4,3,5,8,7,35,25,12,25,10,19,14,4,57.99999999999999
0,5,6,5,3,1,3,4,10,3,5,7,3,5,8,5,8,13,5,8,3,0,5,3,15,13,24,17,9,18,4,10,45.0
7,4,5,4,13,6,5,5,5,7,3,5,1,4,5,3,7,10,3,2,6,7,4,3,12,18,12,16,9,23,11,5,48.5
5,3,5,4,3,5,6,5,3,5,5,2,5,5,6,4,10,14,4,1,6,5,3,7,24,19,6,20,10,11,11,3,45.5
4,7,11,7,8,3,5,3,10,9,8,1,8,6,8,4,9,13,4,6,0,4,7,8,20,26,0,36,9,17,8,10,60.5
2,5,2,7,7,6,5,2,6,6,2,9,9,3,8,6,15,21,6,6,9,2,5,5,54,19,54,19,5,24,11,6,56.99999999999999
4,4,8,6,5,4,2,4,5,3,8,3,3,4,6,3,7,10,3,7,4,4,4,7,12,21,28,22,8,14,6,5,47.0
3,8,2,7,8,6,4,3,6,5,7,6,4,5,3,9,14,23,9,7,2,3,8,6,45,24,14,18,8,17,10,6,53.0
3,3,3,6,3,4,3,6,8,6,5,9,3,4,4,1,11,12,1,2,2,3,3,6,10,18,4,17,10,16,7,8,45.5
5,2,4,6,7,3,3,4,4,9,3,2,5,6,5,5,10,15,5,6,2,5,2,6,25,19,12,21,10,14,6,4,46.0
5,4,8,3,8,2,5,5,5,5,3,6,5,9,6,1,11,12,1,5,6,5,4,4,10,16,30,21,14,20,7,5,52.5
3,0,4,4,5,5,5,3,5,3,1,7,8,4,3,3,10,13,3,7,3,3,0,3,21,10,21,16,7,15,10,5,41.5
3,2,5,8,3,7,4,9,12,1,8,4,10,7,7,5,5,10,5,4,6,3,2,5,0,18,24,24,16,14,11,12,55.00000000000001
7,5,7,4,2,3,5,6,2,3,2,4,10,5,5,6,10,16,6,5,5,7,5,4,24,20,25,22,11,11,8,2,47.0
4,4,7,2,5,3,6,4,2,6,3,3,6,4,5,5,11,16,5,10,3,4,4,2,30,12,30,22,8,13,9,2,45.0
3,5,5,3,6,5,6,10,3,5,6,4,9,5,1,7,13,20,7,6,5,3,5,7,42,18,30,25,15,11,11,3,53.5
1,7,4,7,7,4,6,10,8,6,13,5,5,6,11,3,7,10,3,3,5,1,7,5,12,20,15,28,16,23,10,8,60.0
4,4,5,5,8,4,5,6,5,3,2,7,9,6,5,5,7,12,5,8,7,4,4,4,10,17,56,19,12,20,9,5,52.0
